Year,state,Agency,NTDID,ntdid_old,type,status,uza,uza_population,mode,tos,voms,Major Mechanical Failure,Other Mechanical Failure,Total Revenue System Mechanical ,Passenger Miles Traveled
2014,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Authority,Full Reporter: Operating,"Los Angeles-Long Beach-Anaheim, CA",12150996,HR,DO,70,75,44,119,254439683
2013,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Authority,N,"Los Angeles-Long Beach-Anaheim, CA",12150996,HR,DO,70,94,21,115,237760058
2012,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Authority,,"Los Angeles-Long Beach-Anaheim, CA",12150996,HR,,70,133,38,171,231683864
2011,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Agency,,"Los Angeles-Long Beach-Anaheim, CA",12150996,HR,,70,108,37,145,226973533
2010,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,Agency,,"Los Angeles-Long Beach-Santa Ana, CA",11789487,HR,,70,114,52,166,231935841
2009,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,B,,"Los Angeles-Long Beach-Santa Ana, CA",11789487,HR,,70,112,50,162,227656592
2008,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,B,,"Los Angeles-Long Beach-Santa Ana, CA",11789487,HR,,70,109,38,147,217964955
2007,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,B,,,,HR,,70,362,1672,2034,194031751
2006,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,B,,,,HR,,70,314,1304,1618,202689312
2005,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,B,,,,HR,,70,518,952,1470,173934798
2004,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,B,,,,HR,,70,363,350,713,152629488
2003,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,B,,,,HR,,74,737,782,1519,151901311
2002,CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),90154,9154,A,,,,HR,,70,624,753,1377,163931092
2014,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,Authority,Full Reporter: Operating/Building,"San Francisco-Oakland, CA",3281212,HR,DO,534,182,73,255,1655369324
2013,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,Authority,N,"San Francisco-Oakland, CA",3281212,HR,DO,534,176,56,232,1649251188
2012,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,Authority,,"San Francisco-Oakland, CA",3281212,HR,,534,185,56,241,1545717976
2011,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,Agency,,"San Francisco-Oakland, CA",3281212,HR,,534,182,85,267,1442860793
2010,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,Agency,,"San Francisco-Oakland, CA",3228605,HR,,534,201,110,311,1390909655
2009,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,A,,"San Francisco-Oakland, CA",3228605,HR,,534,229,196,425,1442123986
2008,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,A,,"San Francisco-Oakland, CA",3228605,HR,,540,214,78,292,1448529163
2007,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,B,,,,HR,,517,218,63,281,1368044840
2006,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,B,,,,HR,,513,288,83,371,1307104673
2005,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,B,,,,HR,,513,847,135,982,1255540964
2004,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,B,,,,HR,,522,1008,162,1170,1228433167
2003,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,A,,,,HR,,483,965,184,1149,1147851901
2002,CA,San Francisco Bay Area Rapid Transit District(BART),90003,9003,A,,,,HR,,493,1167,185,1352,1176305514
2014,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,Authority,Full Reporter: Operating,"Washington, DC-VA-MD",4586770,HR,DO,878,1406,102,1508,1519705315
2013,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,Authority,N,"Washington, DC-VA-MD",4586770,HR,DO,878,1223,139,1362,1552619378
2012,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,Authority,,"Washington, DC-VA-MD",4586770,HR,,868,1483,111,1594,1584631040
2011,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,Agency,,"Washington, DC-VA-MD",4586770,HR,,860,1525,137,1662,1624750032
2010,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,Agency,,"Washington, DC-VA-MD",3933920,HR,,850,1552,117,1669,1635967269
2009,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,B,,"Washington, DC-VA-MD",3933920,HR,,850,1334,152,1486,1667899731
2008,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,B,,"Washington, DC-VA-MD",3933920,HR,,830,1076,362,1438,1639628551
2007,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,B,,,,HR,,782,706,155,861,1590316851
2006,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,B,,,,HR,,758,726,542,1268,1577789264
2005,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,B,,,,HR,,758,661,377,1038,1401105192
2004,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,B,,,,HR,,750,536,339,875,1507072928
2003,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,B,,,,HR,,686,721,499,1220,1451856563
2002,DC,Washington Metropolitan Area Transit Authority(WMATA),30030,3030,B,,,,HR,,664,5500,3050,8550,1438336161
