Year,NTDID,Agency,Mode,TOS,City,State,UZA Number,UZA Name,Reporter Type,Directional Route Miles,Transit Way Miles,Unlinked Passenger Trips,Passenger Miles Traveled,Vehicle & Pass. Car Revenue Miles,Train Revenue Miles,Vehicle Revenue Hours,Vehicle Operated in Maximum Service,    with Motor Vehicle,    with Person,    with Fixed Object,    with Rail Vehicle,    with Bus Vehicle,    with Other,    Collision Total,    Derailment Total,    Fire Total,Security Total,    NOC Total,    Event Total,    Passenger,People waiting or leaving,    Operator,    Employee,    Total Employee,    Other Worker,    Bicyclist,    Ped In Crossing,    Ped Not In Crossing,    Ped Crossing Tracks,    Ped Walking Along Tracks,    Other Vehicle Occupant,    Other,    Trespasser,    Suicide,    Total Other,    Total Fatalities,    Passenger,People waiting or leaving,    Operator,    Employee,    Total Employee,    Other Worker,    Bicyclist,    Ped In Crossing,    Ped Not In Crossing,    Ped Crossing Tracks,    Ped Walking Along Tracks,    Other Vehicle Occupant,    Other,    Trespasser,    Suicide,    Total Other,    Total Injuries
2015,10003,Massachusetts Bay Transportation Authority,HR,DO,Boston,MA,10,"Boston, MA-NH-RI",Full Reporter: Operating,76.3,108.0,178462448,606829993,23133946,3855658,1436546,336,0,3,1,0,0,0,4,0,60,35,208,307,0,1,0,0,0,0,0,0,0,1,0,0,0,,3,4,5,11,186,0,12,12,2,0,0,0,0,0,0,16,,7,23,234
2015,20008,MTA New York City Transit,HR,DO,New York,NY,1,"New York-Newark, NY-NJ-CT",Full Reporter: Operating,487.5,829.9,2743004452,11152745285,345106130,37928876,18938907,5238,0,94,0,0,0,0,94,2,1052,237,3716,5101,3,9,1,1,2,0,0,0,0,0,5,0,7,,32,44,58,72,3841,9,13,22,9,1,0,0,3,7,0,18,,38,67,4011
2015,20075,Port Authority Transit Corporation,HR,DO,Lindenwold,NJ,5,"Philadelphia, PA-NJ-DE-MD",Full Reporter: Operating,31.5,38.4,10007256,88526818,4093853,921340,131756,84,0,0,0,0,0,0,0,0,2,4,49,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,38,0,0,0,0,0,0,0,0,0,0,5,,0,5,48
2015,20099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",HR,DO,Staten Island,NY,1,"New York-Newark, NY-NJ-CT",Full Reporter: Operating,28.6,31.7,8301793,52033871,2457247,614312,155527,44,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,6
2015,30019,Southeastern Pennsylvania Transportation Authority,HR,DO,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",Full Reporter: Operating,74.9,99.8,99288812,439437755,17018476,3270421,875171,286,1,4,0,0,0,0,5,1,3,47,80,136,0,1,0,0,0,0,0,0,0,0,0,0,0,,2,2,3,23,88,5,7,12,0,0,0,0,0,0,0,4,,0,4,127
2015,30030,Washington Metropolitan Area Transit Authority,HR,DO,Washington,DC,8,"Washington, DC-VA-MD",Full Reporter: Operating,211.8,269.8,269529019,1519705315,74078897,11686849,3020971,878,0,6,0,0,0,0,6,3,49,37,299,394,2,1,0,0,0,0,0,0,0,0,0,0,1,,2,3,6,102,277,4,7,11,0,0,0,0,0,0,0,19,,5,24,414
2015,30034,Maryland Transit Administration,HR,DO,Baltimore,MD,19,"Baltimore, MD",Full Reporter: Operating,29.4,34.0,14632401,75330815,5072282,1089133,207550,54,0,0,0,0,0,0,0,0,0,5,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,,0,0,36
2015,30080,Arlington Transit - Arlington County,HR,PT,Arlington,VA,8,"Washington, DC-VA-MD",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2015,40022,Metropolitan Atlanta Rapid Transit Authority,HR,DO,Atlanta,GA,11,"Atlanta, GA",Full Reporter: Operating,96.1,103.7,68761570,444957333,18086375,3221710,686168,210,0,0,0,0,0,0,0,0,1,28,85,114,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,3,90,0,2,2,0,0,0,1,0,0,0,4,,6,11,106
2015,40034,Miami-Dade Transit,HR,DO,Miami,FL,5,"Miami, FL",Full Reporter: Operating,49.8,58.3,21751409,159954088,7976759,1929709,361509,80,0,0,0,0,0,0,0,0,0,1,64,65,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,1,5,58,0,1,1,0,0,0,0,0,0,0,0,,0,0,64
2015,40094,Alternativa de Transporte Integrado -ATI,HR,PT,San Juan,PR,500,"San Juan, PR",Full Reporter: Operating,20.6,25.5,10877266,51975086,1910978,591037,103210,32,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,0,1,1,0,0,0,0,0,0,0,13,,0,13,27
2015,50015,The Greater Cleveland Regional Transit Authority,HR,DO,Cleveland,OH,25,"Cleveland, OH",Full Reporter: Operating,38.1,41.9,6203837,41266566,2432606,1275003,130709,20,0,2,0,0,0,0,2,0,0,8,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,,0,0,23
2015,50066,Chicago Transit Authority,HR,DO,Chicago,IL,3,"Chicago, IL-IN",Full Reporter: Operating,207.8,287.8,238100054,1446542103,70679582,11765392,3830566,1108,0,8,1,1,0,0,10,2,78,72,355,517,0,3,0,0,0,0,0,0,0,1,0,0,0,,4,5,8,65,293,21,22,43,0,0,0,0,0,0,0,15,,10,25,426
2015,90003,San Francisco Bay Area Rapid Transit District,HR,DO,Oakland,CA,13,"San Francisco-Oakland, CA",Full Reporter: Operating/Building,209.0,267.6,125784207,1655369324,64766101,8745981,1803171,534,0,1,0,0,0,0,1,0,2,31,478,512,0,0,0,0,0,0,0,0,0,0,0,1,0,,12,13,13,23,396,0,1,1,0,0,0,0,0,0,0,80,,1,81,501
2015,90154,Los Angeles County Metropolitan Transportation Authority dba: Metro,HR,DO,Los Angeles,CA,2,"Los Angeles-Long Beach-Santa Ana, CA",Full Reporter: Operating,31.9,34.1,50364804,254439683,7067079,1444892,320005,70,0,0,0,0,0,0,0,0,0,13,44,57,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,4,51,0,0,0,0,0,0,0,0,0,0,0,,1,1,56
